SUMLEV,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2018,FIPS
50,01,001,Alabama,Autauga County,54571,55601,01001
50,01,003,Alabama,Baldwin County,182265,218022,01003
50,01,005,Alabama,Barbour County,27457,24881,01005
50,01,007,Alabama,Bibb County,22915,22400,01007
50,01,009,Alabama,Blount County,57322,57840,01009
50,01,011,Alabama,Bullock County,10914,10138,01011
50,01,013,Alabama,Butler County,20947,19680,01013
50,01,015,Alabama,Calhoun County,118572,114277,01015
50,01,017,Alabama,Chambers County,34215,33615,01017
50,01,019,Alabama,Cherokee County,25989,26032,01019
50,01,021,Alabama,Chilton County,43643,44153,01021
50,01,023,Alabama,Choctaw County,13859,12841,01023
50,01,025,Alabama,Clarke County,25833,23920,01025
50,01,027,Alabama,Clay County,13932,13275,01027
50,01,029,Alabama,Cleburne County,14972,14987,01029
50,01,031,Alabama,Coffee County,49948,51909,01031
50,01,033,Alabama,Colbert County,54428,54762,01033
50,01,035,Alabama,Conecuh County,13228,12277,01035
50,01,037,Alabama,Coosa County,11539,10715,01037
50,01,039,Alabama,Covington County,37765,36986,01039
50,01,041,Alabama,Crenshaw County,13906,13824,01041
50,01,043,Alabama,Cullman County,80406,83442,01043
50,01,045,Alabama,Dale County,50251,48956,01045
50,01,047,Alabama,Dallas County,43820,38310,01047
50,01,049,Alabama,DeKalb County,71109,71385,01049
50,01,051,Alabama,Elmore County,79303,81887,01051
50,01,053,Alabama,Escambia County,38319,36748,01053
50,01,055,Alabama,Etowah County,104430,102501,01055
50,01,057,Alabama,Fayette County,17241,16433,01057
50,01,059,Alabama,Franklin County,31704,31363,01059
50,01,061,Alabama,Geneva County,26790,26314,01061
50,01,063,Alabama,Greene County,9045,8233,01063
50,01,065,Alabama,Hale County,15760,14726,01065
50,01,067,Alabama,Henry County,17302,17209,01067
50,01,069,Alabama,Houston County,101547,104722,01069
50,01,071,Alabama,Jackson County,53227,51736,01071
50,01,073,Alabama,Jefferson County,658466,659300,01073
50,01,075,Alabama,Lamar County,14564,13844,01075
50,01,077,Alabama,Lauderdale County,92709,92387,01077
50,01,079,Alabama,Lawrence County,34339,32957,01079
50,01,081,Alabama,Lee County,140247,163941,01081
50,01,083,Alabama,Limestone County,82782,96174,01083
50,01,085,Alabama,Lowndes County,11299,9974,01085
50,01,087,Alabama,Macon County,21452,18439,01087
50,01,089,Alabama,Madison County,334811,366519,01089
50,01,091,Alabama,Marengo County,21027,19066,01091
50,01,093,Alabama,Marion County,30776,29763,01093
50,01,095,Alabama,Marshall County,93019,96109,01095
50,01,097,Alabama,Mobile County,412992,413757,01097
50,01,099,Alabama,Monroe County,23068,21067,01099
50,01,101,Alabama,Montgomery County,229363,225763,01101
50,01,103,Alabama,Morgan County,119490,119089,01103
50,01,105,Alabama,Perry County,10591,9140,01105
50,01,107,Alabama,Pickens County,19746,19938,01107
50,01,109,Alabama,Pike County,32899,33338,01109
50,01,111,Alabama,Randolph County,22913,22725,01111
50,01,113,Alabama,Russell County,52947,57781,01113
50,01,115,Alabama,St. Clair County,83593,88690,01115
50,01,117,Alabama,Shelby County,195085,215707,01117
50,01,119,Alabama,Sumter County,13763,12691,01119
50,01,121,Alabama,Talladega County,82291,79828,01121
50,01,123,Alabama,Tallapoosa County,41616,40497,01123
50,01,125,Alabama,Tuscaloosa County,194656,208911,01125
50,01,127,Alabama,Walker County,67023,63711,01127
50,01,129,Alabama,Washington County,17581,16378,01129
50,01,131,Alabama,Wilcox County,11670,10627,01131
50,01,133,Alabama,Winston County,24484,23660,01133
50,02,013,Alaska,Aleutians East Borough,3141,3515,02013
50,02,016,Alaska,Aleutians West Census Area,5561,5723,02016
50,02,020,Alaska,Anchorage Municipality,291826,291538,02020
50,02,050,Alaska,Bethel Census Area,17013,18216,02050
50,02,060,Alaska,Bristol Bay Borough,997,877,02060
50,02,068,Alaska,Denali Borough,1826,2059,02068
50,02,070,Alaska,Dillingham Census Area,4847,5000,02070
50,02,090,Alaska,Fairbanks North Star Borough,97581,98971,02090
