state,date,Confirmed,Deaths,Active,New,New_3_avg,New_7_avg
AK,01/22/2020,0,0,0,0,0,0
AK,01/23/2020,0,0,0,0,0,0
AK,01/24/2020,0,0,0,0,0,0
AK,01/25/2020,0,0,0,0,0,0
AK,01/26/2020,0,0,0,0,0,0
AK,01/27/2020,0,0,0,0,0,0
AK,01/28/2020,0,0,0,0,0,0
AK,01/29/2020,0,0,0,0,0,0
AK,01/30/2020,0,0,0,0,0,0
AK,01/31/2020,0,0,0,0,0,0
AK,02/01/2020,0,0,0,0,0,0
AK,02/02/2020,0,0,0,0,0,0
AK,02/03/2020,0,0,0,0,0,0
AK,02/04/2020,0,0,0,0,0,0
AK,02/05/2020,0,0,0,0,0,0
AK,02/06/2020,0,0,0,0,0,0
AK,02/07/2020,0,0,0,0,0,0
AK,02/08/2020,0,0,0,0,0,0
AK,02/09/2020,0,0,0,0,0,0
AK,02/10/2020,0,0,0,0,0,0
AK,02/11/2020,0,0,0,0,0,0
AK,02/12/2020,0,0,0,0,0,0
AK,02/13/2020,0,0,0,0,0,0
AK,02/14/2020,0,0,0,0,0,0
AK,02/15/2020,0,0,0,0,0,0
AK,02/16/2020,0,0,0,0,0,0
AK,02/17/2020,0,0,0,0,0,0
AK,02/18/2020,0,0,0,0,0,0
AK,02/19/2020,0,0,0,0,0,0
AK,02/20/2020,0,0,0,0,0,0
AK,02/21/2020,0,0,0,0,0,0
AK,02/22/2020,0,0,0,0,0,0
AK,02/23/2020,0,0,0,0,0,0
AK,02/24/2020,0,0,0,0,0,0
AK,02/25/2020,0,0,0,0,0,0
AK,02/26/2020,0,0,0,0,0,0
AK,02/27/2020,0,0,0,0,0,0
AK,02/28/2020,0,0,0,0,0,0
AK,02/29/2020,0,0,0,0,0,0
AK,03/01/2020,0,0,0,0,0,0
AK,03/02/2020,0,0,0,0,0,0
AK,03/03/2020,0,0,0,0,0,0
AK,03/04/2020,0,0,0,0,0,0
AK,03/05/2020,0,0,0,0,0,0
AK,03/06/2020,0,0,0,0,0,0
AK,03/07/2020,0,0,0,0,0,0
AK,03/08/2020,0,0,0,0,0,0
AK,03/09/2020,0,0,0,0,0,0
AK,03/10/2020,0,0,0,0,0,0
AK,03/11/2020,0,0,0,0,0,0
AK,03/12/2020,0,0,0,0,0,0
AK,03/13/2020,1,0,1,1,0.3333333333333333,0.14285714285714285
AK,03/14/2020,1,0,1,0,0.3333333333333333,0.14285714285714285
AK,03/15/2020,1,0,1,0,0.3333333333333333,0.14285714285714285
AK,03/16/2020,1,0,1,0,0,0.14285714285714285
AK,03/17/2020,3,0,3,2,0.6666666666666666,0.42857142857142855
AK,03/18/2020,6,0,6,3,1.6666666666666667,0.8571428571428571
AK,03/19/2020,9,0,9,3,2.6666666666666665,1.2857142857142858
AK,03/20/2020,12,0,12,3,3,1.5714285714285714
AK,03/21/2020,15,0,15,3,3,2
AK,03/22/2020,21,0,21,6,4,2.857142857142857
AK,03/23/2020,30,0,30,9,6,4.142857142857143
AK,03/24/2020,34,0,34,4,6.333333333333333,4.428571428571429
AK,03/25/2020,41,1,40,7,6.666666666666667,5
AK,03/26/2020,56,1,55,15,8.666666666666666,6.714285714285714
AK,03/27/2020,58,1,57,2,8,6.571428571428571
AK,03/28/2020,85,2,83,27,14.666666666666666,10
AK,03/29/2020,102,2,100,17,15.333333333333334,11.571428571428571
AK,03/30/2020,114,3,111,12,18.666666666666668,12
